# Clip ID (Unique, used only internally); Clip Prefix (Unique); Video Session; Starting Time (ms);  Ending Time (ms); Action Label; Verb Label; Noun Label(s)
1; P05-R01-PastaSalad-583261-586055; P05-R01-PastaSalad; 583261; 586055; Cut tomato; Cut; tomato
2562; P12-R02-TurkeySandwich-536890-542792; P12-R02-TurkeySandwich; 536890; 542792; Turn on faucet; Turn on; faucet
2563; P22-R03-BaconAndEggs-3172020-3173547; P22-R03-BaconAndEggs; 3172020; 3173547; Put eating_utensil; Put; eating_utensil
2564; OP04-R01-PastaSalad-39240-40170; OP04-R01-PastaSalad; 39240; 40170; Open pot; Open; pot
2566; OP03-R01-PastaSalad-155200-157750; OP03-R01-PastaSalad; 155200; 157750; Close fridge; Close; fridge
2567; P04-R01-PastaSalad-716239-717184; P04-R01-PastaSalad; 716239; 717184; Close drawer; Close; drawer
2568; P20-R03-BaconAndEggs-130248-131995; P20-R03-BaconAndEggs; 130248; 131995; Put seasoning_container; Put; seasoning_container
2569; P22-R03-BaconAndEggs-1956709-1959493; P22-R03-BaconAndEggs; 1956709; 1959493; Take paper_towel; Take; paper_towel
2571; P16-R03-BaconAndEggs-1730400-1742100; P16-R03-BaconAndEggs; 1730400; 1742100; Divide/Pull Apart bread; Divide/Pull Apart; bread
2572; P10-R05-Cheeseburger-134090-135090; P10-R05-Cheeseburger; 134090; 135090; Open fridge; Open; fridge
2573; P01-R01-PastaSalad-255799-257044; P01-R01-PastaSalad; 255799; 257044; Move Around tomato; Move Around; tomato
2574; P04-R01-PastaSalad-1144643-1158291; P04-R01-PastaSalad; 1144643; 1158291; Wash pasta; Wash; pasta
2575; P24-R03-BaconAndEggs-1100710-1109077; P24-R03-BaconAndEggs; 1100710; 1109077; Close bacon_container; Close; bacon_container
2576; P02-R01-PastaSalad-1369076-1371119; P02-R01-PastaSalad; 1369076; 1371119; Open oil_container; Open; oil_container
2577; P15-R01-PastaSalad-1067400-1069400; P15-R01-PastaSalad; 1067400; 1069400; Cut olive; Cut; olive
2579; P26-R05-Cheeseburger-794466-803338; P26-R05-Cheeseburger; 794466; 803338; Compress patty,cooking_utensil; Compress; patty,cooking_utensil
2580; P02-R03-BaconAndEggs-1118847-1119360; P02-R03-BaconAndEggs; 1118847; 1119360; Put cooking_utensil; Put; cooking_utensil
2581; P13-R01-PastaSalad-1911575-1915557; P13-R01-PastaSalad; 1911575; 1915557; Put cutting_board; Put; cutting_board
2582; P23-R03-BaconAndEggs-360080-363690; P23-R03-BaconAndEggs; 360080; 363690; Open fridge; Open; fridge
2583; OP04-R01-PastaSalad-457205-458435; OP04-R01-PastaSalad; 457205; 458435; Open door; Open; door
2584; OP02-R03-BaconAndEggs-102780-107040; OP02-R03-BaconAndEggs; 102780; 107040; Open milk_container; Open; milk_container
2585; P09-R01-PastaSalad-1862061-1862912; P09-R01-PastaSalad; 1862061; 1862912; Put washing_liquid_container; Put; washing_liquid_container
2586; P07-R01-PastaSalad-2025530-2028810; P07-R01-PastaSalad; 2025530; 2028810; Wash pot; Wash; pot
2587; OP06-R07-Pizza-72530-73830; OP06-R07-Pizza; 72530; 73830; Put mushroom; Put; mushroom
2588; P11-R02-TurkeySandwich-154825-165675; P11-R02-TurkeySandwich; 154825; 165675; Cut tomato; Cut; tomato
2589; P02-R04-ContinentalBreakfast-122265-127923; P02-R04-ContinentalBreakfast; 122265; 127923; Move Around condiment,eating_utensil; Move Around; condiment,eating_utensil
2590; P07-R01-PastaSalad-1511400-1513950; P07-R01-PastaSalad; 1511400; 1513950; Move Around pasta,pot; Move Around; pasta,pot
2591; P10-R02-TurkeySandwich-296312-307849; P10-R02-TurkeySandwich; 296312; 307849; Squeeze condiment,bread; Squeeze; condiment,bread
2592; P04-R05-Cheeseburger-614503-615464; P04-R05-Cheeseburger; 614503; 615464; Open drawer; Open; drawer
2593; P04-R06-GreekSalad-621734-633879; P04-R06-GreekSalad; 621734; 633879; Cut onion; Cut; onion
2594; P20-R04-ContinentalBreakfast-573184-582234; P20-R04-ContinentalBreakfast; 573184; 582234; Inspect/Read recipe; Inspect/Read; recipe
2595; P02-R01-PastaSalad-1389268-1397281; P02-R01-PastaSalad; 1389268; 1397281; Mix mixture,eating_utensil; Mix; mixture,eating_utensil
2596; OP03-R07-Pizza-126640-154972; OP03-R07-Pizza; 126640; 154972; Cut sausage; Cut; sausage
2597; P23-R03-BaconAndEggs-794429-802700; P23-R03-BaconAndEggs; 794429; 802700; Inspect/Read recipe; Inspect/Read; recipe
2598; P20-R03-BaconAndEggs-272950-274030; P20-R03-BaconAndEggs; 272950; 274030; Take cup; Take; cup
2599; P20-R03-BaconAndEggs-399397-401934; P20-R03-BaconAndEggs; 399397; 401934; Put juice_container; Put; juice_container
2600; P10-R01-PastaSalad-326895-329335; P10-R01-PastaSalad; 326895; 329335; Move Around grocery_bag; Move Around; grocery_bag
2601; P24-R03-BaconAndEggs-287301-288900; P24-R03-BaconAndEggs; 287301; 288900; Spread condiment,bread,eating_utensil; Spread; condiment,bread,eating_utensil
2603; P13-R01-PastaSalad-1720401-1722586; P13-R01-PastaSalad; 1720401; 1722586; Move Around paper_towel_roll; Move Around; paper_towel_roll
2604; OP04-R04-ContinentalBreakfast-92925-94745; OP04-R04-ContinentalBreakfast; 92925; 94745; Turn on faucet; Turn on; faucet
2605; P18-R03-BaconAndEggs-1451418-1454576; P18-R03-BaconAndEggs; 1451418; 1454576; Move Around bread; Move Around; bread
2607; P07-R01-PastaSalad-88065-89570; P07-R01-PastaSalad; 88065; 89570; Take eating_utensil; Take; eating_utensil
2608; P11-R02-TurkeySandwich-270340-270910; P11-R02-TurkeySandwich; 270340; 270910; Put grocery_bag; Put; grocery_bag
2610; P25-R06-GreekSalad-331552-334272; P25-R06-GreekSalad; 331552; 334272; Open cabinet; Open; cabinet
2611; P02-R03-BaconAndEggs-193682-195492; P02-R03-BaconAndEggs; 193682; 195492; Close fridge; Close; fridge
2612; P04-R05-Cheeseburger-360200-365528; P04-R05-Cheeseburger; 360200; 365528; Take plate; Take; plate
2615; P04-R05-Cheeseburger-894795-895443; P04-R05-Cheeseburger; 894795; 895443; Put plate; Put; plate
2616; OP04-R03-BaconAndEggs-445571-447011; OP04-R03-BaconAndEggs; 445571; 447011; Move Around pan; Move Around; pan
2617; P05-R01-PastaSalad-386784-390367; P05-R01-PastaSalad; 386784; 390367; Open fridge; Open; fridge
2618; P03-R01-PastaSalad-289999-291411; P03-R01-PastaSalad; 289999; 291411; Put deli_meat_container; Put; deli_meat_container
2619; P17-R04-ContinentalBreakfast-383215-384682; P17-R04-ContinentalBreakfast; 383215; 384682; Take bread; Take; bread
2620; P06-R01-PastaSalad-1041005-1042145; P06-R01-PastaSalad; 1041005; 1042145; Take condiment_container; Take; condiment_container
2622; P23-R03-BaconAndEggs-1152304-1153530; P23-R03-BaconAndEggs; 1152304; 1153530; Take pan; Take; pan
2623; OP01-R03-BaconAndEggs-403440-404750; OP01-R03-BaconAndEggs; 403440; 404750; Open fridge; Open; fridge
2625; P06-R02-TurkeySandwich-515296-515916; P06-R02-TurkeySandwich; 515296; 515916; Turn on faucet; Turn on; faucet
2627; P16-R03-BaconAndEggs-1229900-1234646; P16-R03-BaconAndEggs; 1229900; 1234646; Wash pan; Wash; pan
2628; P12-R01-PastaSalad-279432-281389; P12-R01-PastaSalad; 279432; 281389; Inspect/Read pasta_container; Inspect/Read; pasta_container
2629; P19-R03-BaconAndEggs-676470-678141; P19-R03-BaconAndEggs; 676470; 678141; Turn off faucet; Turn off; faucet
2630; OP03-R01-PastaSalad-100720-102010; OP03-R01-PastaSalad; 100720; 102010; Take paper_towel; Take; paper_towel
2631; OP04-R07-Pizza-291882-293583; OP04-R07-Pizza; 291882; 293583; Take oil_container; Take; oil_container
2632; P09-R01-PastaSalad-481233-484370; P09-R01-PastaSalad; 481233; 484370; Cut tomato; Cut; tomato
2634; P14-R02-TurkeySandwich-237697-238858; P14-R02-TurkeySandwich; 237697; 238858; Close tomato_container; Close; tomato_container
2635; OP06-R07-Pizza-225570-229440; OP06-R07-Pizza; 225570; 229440; Cut bell_pepper; Cut; bell_pepper
2636; P19-R04-ContinentalBreakfast-70725-79204; P19-R04-ContinentalBreakfast; 70725; 79204; Pour water,faucet,pot; Pour; water,faucet,pot
2637; P23-R03-BaconAndEggs-1294390-1304710; P23-R03-BaconAndEggs; 1294390; 1304710; Move Around bacon; Move Around; bacon
2638; P16-R03-BaconAndEggs-353300-358500; P16-R03-BaconAndEggs; 353300; 358500; Open fridge; Open; fridge
2639; P13-R01-PastaSalad-378421-381796; P13-R01-PastaSalad; 378421; 381796; Inspect/Read pot; Inspect/Read; pot
2640; OP02-R02-TurkeySandwich-223970-225330; OP02-R02-TurkeySandwich; 223970; 225330; Transfer tomato,plate,bread; Transfer; tomato,plate,bread
2641; OP03-R06-GreekSalad-192720-193790; OP03-R06-GreekSalad; 192720; 193790; Put tomato; Put; tomato
2642; OP01-R02-TurkeySandwich-301970-302720; OP01-R02-TurkeySandwich; 301970; 302720; Put tomato; Put; tomato
2643; P23-R03-BaconAndEggs-2341050-2342270; P23-R03-BaconAndEggs; 2341050; 2342270; Pour water,pan,sink; Pour; water,pan,sink
2644; P16-R03-BaconAndEggs-890900-892500; P16-R03-BaconAndEggs; 890900; 892500; Take egg; Take; egg
2646; P09-R02-TurkeySandwich-114940-117581; P09-R02-TurkeySandwich; 114940; 117581; Take bread_container; Take; bread_container
2647; OP01-R01-PastaSalad-795740-796440; OP01-R01-PastaSalad; 795740; 796440; Take cooking_utensil; Take; cooking_utensil
2648; P11-R02-TurkeySandwich-472570-475340; P11-R02-TurkeySandwich; 472570; 475340; Close cheese_container; Close; cheese_container
2650; P25-R06-GreekSalad-1300248-1301896; P25-R06-GreekSalad; 1300248; 1301896; Put lettuce; Put; lettuce
2651; P13-R01-PastaSalad-1669527-1671060; P13-R01-PastaSalad; 1669527; 1671060; Move Around strainer; Move Around; strainer
2652; P07-R01-PastaSalad-164450-166500; P07-R01-PastaSalad; 164450; 166500; Move Around bowl; Move Around; bowl
2653; P23-R03-BaconAndEggs-1001234-1002474; P23-R03-BaconAndEggs; 1001234; 1002474; Take bread; Take; bread
2654; P19-R04-ContinentalBreakfast-711504-713792; P19-R04-ContinentalBreakfast; 711504; 713792; Take paper_towel; Take; paper_towel
2656; P04-R01-PastaSalad-1638009-1642865; P04-R01-PastaSalad; 1638009; 1642865; Pour condiment,condiment_container,salad; Pour; condiment,condiment_container,salad
2657; OP03-R01-PastaSalad-83780-90270; OP03-R01-PastaSalad; 83780; 90270; Inspect/Read recipe; Inspect/Read; recipe
2658; P03-R01-PastaSalad-124477-126260; P03-R01-PastaSalad; 124477; 126260; Take grocery_bag; Take; grocery_bag
2659; OP04-R05-Cheeseburger-429080-429770; OP04-R05-Cheeseburger; 429080; 429770; Close condiment_container; Close; condiment_container
2660; OP03-R01-PastaSalad-97480-98410; OP03-R01-PastaSalad; 97480; 98410; Move Around plate; Move Around; plate
2661; P21-R03-BaconAndEggs-197967-200511; P21-R03-BaconAndEggs; 197967; 200511; Take beater; Take; beater
2662; P02-R05-Cheeseburger-784220-786240; P02-R05-Cheeseburger; 784220; 786240; Transfer patty,cooking_utensil,plate; Transfer; patty,cooking_utensil,plate
2663; OP02-R04-ContinentalBreakfast-439385-444680; OP02-R04-ContinentalBreakfast; 439385; 444680; Move Around teabag; Move Around; teabag
2664; P16-R03-BaconAndEggs-1340947-1344021; P16-R03-BaconAndEggs; 1340947; 1344021; Move Around pan; Move Around; pan
2665; P16-R03-BaconAndEggs-1491000-1492700; P16-R03-BaconAndEggs; 1491000; 1492700; Turn on faucet; Turn on; faucet
2666; P22-R03-BaconAndEggs-1068054-1072705; P22-R03-BaconAndEggs; 1068054; 1072705; Operate stove; Operate; stove
2667; P07-R01-PastaSalad-2405940-2408540; P07-R01-PastaSalad; 2405940; 2408540; Squeeze washing_liquid,hand; Squeeze; washing_liquid,hand
2668; P26-R05-Cheeseburger-495999-503254; P26-R05-Cheeseburger; 495999; 503254; Cut tomato; Cut; tomato
2669; P13-R01-PastaSalad-1008739-1012623; P13-R01-PastaSalad; 1008739; 1012623; Pour pasta,cup,pot; Pour; pasta,cup,pot
2670; P22-R03-BaconAndEggs-450600-451870; P22-R03-BaconAndEggs; 450600; 451870; Inspect/Read recipe; Inspect/Read; recipe
2671; P04-R05-Cheeseburger-506399-514775; P04-R05-Cheeseburger; 506399; 514775; Move Around patty; Move Around; patty
2673; P01-R02-TurkeySandwich-129988-131147; P01-R02-TurkeySandwich; 129988; 131147; Take bowl; Take; bowl
2674; P17-R03-BaconAndEggs-322700-330100; P17-R03-BaconAndEggs; 322700; 330100; Mix mixture,eating_utensil; Mix; mixture,eating_utensil
2675; P13-R01-PastaSalad-1531922-1534490; P13-R01-PastaSalad; 1531922; 1534490; Other onion; Other; onion
2676; P02-R03-BaconAndEggs-765377-766782; P02-R03-BaconAndEggs; 765377; 766782; Put bacon; Put; bacon
2677; P15-R01-PastaSalad-137300-141100; P15-R01-PastaSalad; 137300; 141100; Inspect/Read recipe; Inspect/Read; recipe
2678; OP02-R05-Cheeseburger-72140-76890; OP02-R05-Cheeseburger; 72140; 76890; Take plate; Take; plate
2679; OP02-R03-BaconAndEggs-664992-666592; OP02-R03-BaconAndEggs; 664992; 666592; Move Around bread_container; Move Around; bread_container
2680; P15-R01-PastaSalad-196700-199600; P15-R01-PastaSalad; 196700; 199600; Pour pasta,pasta_container,cup; Pour; pasta,pasta_container,cup
2681; P17-R04-ContinentalBreakfast-457272-458092; P17-R04-ContinentalBreakfast; 457272; 458092; Open cabinet; Open; cabinet
2682; P22-R03-BaconAndEggs-1737935-1744702; P22-R03-BaconAndEggs; 1737935; 1744702; Open condiment_container; Open; condiment_container
2683; OP01-R01-PastaSalad-501115-502525; OP01-R01-PastaSalad; 501115; 502525; Operate stove; Operate; stove
2684; P04-R01-PastaSalad-1758292-1782685; P04-R01-PastaSalad; 1758292; 1782685; Clean/Wipe cutting_board,sponge; Clean/Wipe; cutting_board,sponge
2685; P02-R01-PastaSalad-864814-865994; P02-R01-PastaSalad; 864814; 865994; Put grocery_bag; Put; grocery_bag
2686; P12-R01-PastaSalad-1101889-1103145; P12-R01-PastaSalad; 1101889; 1103145; Move Around faucet; Move Around; faucet
2687; OP01-R07-Pizza-1172630-1174670; OP01-R07-Pizza; 1172630; 1174670; Open fridge; Open; fridge
2688; P23-R03-BaconAndEggs-258852-259775; P23-R03-BaconAndEggs; 258852; 259775; Put cereal_container; Put; cereal_container
2689; P13-R01-PastaSalad-2270403-2271340; P13-R01-PastaSalad; 2270403; 2271340; Take seasoning_container; Take; seasoning_container
2691; P13-R01-PastaSalad-137579-141992; P13-R01-PastaSalad; 137579; 141992; Put bowl; Put; bowl
2692; P21-R06-GreekSalad-796896-798998; P21-R06-GreekSalad; 796896; 798998; Open fridge; Open; fridge
2693; P14-R01-PastaSalad-560015-561223; P14-R01-PastaSalad; 560015; 561223; Transfer pasta,pot,eating_utensil; Transfer; pasta,pot,eating_utensil
2694; OP03-R05-Cheeseburger-94135-96195; OP03-R05-Cheeseburger; 94135; 96195; Take patty_container; Take; patty_container
2695; P02-R01-PastaSalad-1259249-1260691; P02-R01-PastaSalad; 1259249; 1260691; Put seasoning_container; Put; seasoning_container
2696; P14-R01-PastaSalad-355591-359091; P14-R01-PastaSalad; 355591; 359091; Open grocery_bag; Open; grocery_bag
2697; OP02-R07-Pizza-145940-163961; OP02-R07-Pizza; 145940; 163961; Cut sausage; Cut; sausage
2698; P02-R06-GreekSalad-595513-596796; P02-R06-GreekSalad; 595513; 596796; Put grocery_bag; Put; grocery_bag
2699; OP04-R07-Pizza-503735-505487; OP04-R07-Pizza; 503735; 505487; Open fridge; Open; fridge
2700; OP02-R07-Pizza-143047-145304; OP02-R07-Pizza; 143047; 145304; Take sausage; Take; sausage
2701; P12-R02-TurkeySandwich-519324-520949; P12-R02-TurkeySandwich; 519324; 520949; Clean/Wipe eating_utensil,sponge; Clean/Wipe; eating_utensil,sponge
2702; P05-R01-PastaSalad-1173352-1174498; P05-R01-PastaSalad; 1173352; 1174498; Put bowl; Put; bowl
2703; OP04-R04-ContinentalBreakfast-87025-88545; OP04-R04-ContinentalBreakfast; 87025; 88545; Close fridge; Close; fridge
2704; P17-R03-BaconAndEggs-1185800-1212400; P17-R03-BaconAndEggs; 1185800; 1212400; Move Around bacon; Move Around; bacon
2705; OP02-R06-GreekSalad-413280-414114; OP02-R06-GreekSalad; 413280; 414114; Put unknown_container; Put; unknown_container
2706; OP02-R07-Pizza-317275-320570; OP02-R07-Pizza; 317275; 320570; Spread mushroom,pan; Spread; mushroom,pan
2707; P15-R01-PastaSalad-605050-608175; P15-R01-PastaSalad; 605050; 608175; Cut onion; Cut; onion
2709; OP04-R01-PastaSalad-477490-480445; OP04-R01-PastaSalad; 477490; 480445; Divide/Pull Apart onion; Divide/Pull Apart; onion
2710; OP02-R05-Cheeseburger-346548-348395; OP02-R05-Cheeseburger; 346548; 348395; Put tomato; Put; tomato
2711; OP04-R07-Pizza-100210-102060; OP04-R07-Pizza; 100210; 102060; Inspect/Read cheese_container; Inspect/Read; cheese_container
2712; P11-R02-TurkeySandwich-87620-88430; P11-R02-TurkeySandwich; 87620; 88430; Put tomato_container; Put; tomato_container
2713; P21-R05-Cheeseburger-243946-248029; P21-R05-Cheeseburger; 243946; 248029; Take cutting_board; Take; cutting_board
2714; OP06-R04-ContinentalBreakfast-239465-240385; OP06-R04-ContinentalBreakfast; 239465; 240385; Put plate; Put; plate
2715; P12-R01-PastaSalad-1661169-1664915; P12-R01-PastaSalad; 1661169; 1664915; Put plate; Put; plate
2716; P10-R01-PastaSalad-1747181-1750781; P10-R01-PastaSalad; 1747181; 1750781; Clean/Wipe counter; Clean/Wipe; counter
2718; P12-R01-PastaSalad-1656933-1658225; P12-R01-PastaSalad; 1656933; 1658225; Move Around pot; Move Around; pot
2719; OP06-R07-Pizza-484605-485745; OP06-R07-Pizza; 484605; 485745; Inspect/Read cheese_container; Inspect/Read; cheese_container
2720; OP06-R07-Pizza-156100-161850; OP06-R07-Pizza; 156100; 161850; Move Around oil,eating_utensil; Move Around; oil,eating_utensil
2721; OP01-R01-PastaSalad-872692-873292; OP01-R01-PastaSalad; 872692; 873292; Put unknown_container; Put; unknown_container
2722; OP02-R03-BaconAndEggs-114030-117970; OP02-R03-BaconAndEggs; 114030; 117970; Pour milk,milk_container,bowl; Pour; milk,milk_container,bowl
2723; OP04-R06-GreekSalad-74820-75930; OP04-R06-GreekSalad; 74820; 75930; Open fridge; Open; fridge
2724; P17-R04-ContinentalBreakfast-319174-320066; P17-R04-ContinentalBreakfast; 319174; 320066; Move Around bread; Move Around; bread
2725; OP01-R05-Cheeseburger-55110-58320; OP01-R05-Cheeseburger; 55110; 58320; Pour oil,oil_container,pan; Pour; oil,oil_container,pan
2726; P06-R02-TurkeySandwich-352943-354506; P06-R02-TurkeySandwich; 352943; 354506; Put cheese; Put; cheese
2727; P11-R01-PastaSalad-259587-262487; P11-R01-PastaSalad; 259587; 262487; Take tomato_container; Take; tomato_container
2728; OP03-R06-GreekSalad-622620-623230; OP03-R06-GreekSalad; 622620; 623230; Take eating_utensil; Take; eating_utensil
2729; OP01-R07-Pizza-261330-262390; OP01-R07-Pizza; 261330; 262390; Transfer mushroom,mushroom_container,plate; Transfer; mushroom,mushroom_container,plate
2730; OP01-R06-GreekSalad-706040-709240; OP01-R06-GreekSalad; 706040; 709240; Pour condiment,condiment_container,eating_utensil; Pour; condiment,condiment_container,eating_utensil
2731; P11-R01-PastaSalad-244087-247087; P11-R01-PastaSalad; 244087; 247087; Take cutting_board; Take; cutting_board
2732; P02-R05-Cheeseburger-616510-617300; P02-R05-Cheeseburger; 616510; 617300; Close condiment_container; Close; condiment_container
2733; P01-R01-PastaSalad-747842-757447; P01-R01-PastaSalad; 747842; 757447; Move Around eating_utensil; Move Around; eating_utensil
2734; P22-R03-BaconAndEggs-1219525-1236340; P22-R03-BaconAndEggs; 1219525; 1236340; Inspect/Read recipe; Inspect/Read; recipe
2736; P01-R02-TurkeySandwich-686522-690046; P01-R02-TurkeySandwich; 686522; 690046; Open cheese_container; Open; cheese_container
2737; P17-R03-BaconAndEggs-929153-929880; P17-R03-BaconAndEggs; 929153; 929880; Put condiment_container; Put; condiment_container
2738; OP03-R07-Pizza-264053-265314; OP03-R07-Pizza; 264053; 265314; Take mushroom_container; Take; mushroom_container
2740; OP01-R02-TurkeySandwich-212327-213684; OP01-R02-TurkeySandwich; 212327; 213684; Divide/Pull Apart lettuce; Divide/Pull Apart; lettuce
2741; OP03-R01-PastaSalad-640195-652475; OP03-R01-PastaSalad; 640195; 652475; Cut carrot; Cut; carrot
2742; OP03-R06-GreekSalad-706040-711630; OP03-R06-GreekSalad; 706040; 711630; Open cheese_container; Open; cheese_container
2743; OP04-R01-PastaSalad-429864-430404; OP04-R01-PastaSalad; 429864; 430404; Move Around cucumber; Move Around; cucumber
2744; P01-R02-TurkeySandwich-384608-385870; P01-R02-TurkeySandwich; 384608; 385870; Transfer lettuce,plate,paper_towel; Transfer; lettuce,plate,paper_towel
2745; OP01-R04-ContinentalBreakfast-395715-396975; OP01-R04-ContinentalBreakfast; 395715; 396975; Open teabag; Open; teabag
2746; P13-R01-PastaSalad-2349268-2351006; P13-R01-PastaSalad; 2349268; 2351006; Put trash,trash_container; Put; trash,trash_container
2747; P24-R03-BaconAndEggs-1078185-1080024; P24-R03-BaconAndEggs; 1078185; 1080024; Put bacon_container; Put; bacon_container
2748; P11-R01-PastaSalad-2137199-2142299; P11-R01-PastaSalad; 2137199; 2142299; Wash eating_utensil; Wash; eating_utensil
2749; P19-R04-ContinentalBreakfast-295917-299494; P19-R04-ContinentalBreakfast; 295917; 299494; Spread condiment,bread,eating_utensil; Spread; condiment,bread,eating_utensil
2750; P05-R02-TurkeySandwich-371083-374602; P05-R02-TurkeySandwich; 371083; 374602; Close fridge; Close; fridge
2751; P18-R03-BaconAndEggs-101694-103154; P18-R03-BaconAndEggs; 101694; 103154; Inspect/Read recipe; Inspect/Read; recipe
2752; P17-R03-BaconAndEggs-976200-978600; P17-R03-BaconAndEggs; 976200; 978600; Take condiment,eating_utensil; Take; condiment,eating_utensil
2753; P02-R01-PastaSalad-354070-355674; P02-R01-PastaSalad; 354070; 355674; Cut onion; Cut; onion
2754; OP06-R05-Cheeseburger-80860-82640; OP06-R05-Cheeseburger; 80860; 82640; Open patty_container; Open; patty_container
2755; OP02-R06-GreekSalad-142927-147260; OP02-R06-GreekSalad; 142927; 147260; Wash tomato; Wash; tomato
2756; P18-R03-BaconAndEggs-965867-967333; P18-R03-BaconAndEggs; 965867; 967333; Open fridge; Open; fridge
2757; P20-R04-ContinentalBreakfast-509512-511132; P20-R04-ContinentalBreakfast; 509512; 511132; Put condiment_container; Put; condiment_container
2758; P22-R03-BaconAndEggs-969140-973552; P22-R03-BaconAndEggs; 969140; 973552; Pour juice,juice_container,cup; Pour; juice,juice_container,cup
2759; P01-R01-PastaSalad-1324043-1325629; P01-R01-PastaSalad; 1324043; 1325629; Turn on faucet; Turn on; faucet
2760; P19-R03-BaconAndEggs-111794-113356; P19-R03-BaconAndEggs; 111794; 113356; Open cabinet; Open; cabinet
2761; OP02-R07-Pizza-54908-55728; OP02-R07-Pizza; 54908; 55728; Put pizza_crust_container; Put; pizza_crust_container
2762; P02-R05-Cheeseburger-150135-152265; P02-R05-Cheeseburger; 150135; 152265; Move Around storage_container; Move Around; storage_container
2763; P07-R01-PastaSalad-2339315-2340795; P07-R01-PastaSalad; 2339315; 2340795; Take cup; Take; cup
2764; OP01-R05-Cheeseburger-610160-622650; OP01-R05-Cheeseburger; 610160; 622650; Squeeze condiment,sandwich; Squeeze; condiment,sandwich
2765; P13-R01-PastaSalad-1929305-1931554; P13-R01-PastaSalad; 1929305; 1931554; Put carrot_container; Put; carrot_container
2766; P02-R04-ContinentalBreakfast-368761-371698; P02-R04-ContinentalBreakfast; 368761; 371698; Spread mixture,bread,cooking_utensil; Spread; mixture,bread,cooking_utensil
2767; P09-R01-PastaSalad-1758666-1760499; P09-R01-PastaSalad; 1758666; 1760499; Open fridge; Open; fridge
2768; P17-R04-ContinentalBreakfast-551826-552645; P17-R04-ContinentalBreakfast; 551826; 552645; Put trash,trash_container; Put; trash,trash_container
2770; P18-R03-BaconAndEggs-1052872-1055959; P18-R03-BaconAndEggs; 1052872; 1055959; Move Around pan; Move Around; pan
2771; P25-R06-GreekSalad-1277224-1279423; P25-R06-GreekSalad; 1277224; 1279423; Open fridge; Open; fridge
2772; P16-R03-BaconAndEggs-933800-938700; P16-R03-BaconAndEggs; 933800; 938700; Divide/Pull Apart paper_towel; Divide/Pull Apart; paper_towel
2773; P11-R01-PastaSalad-1547018-1559918; P11-R01-PastaSalad; 1547018; 1559918; Divide/Pull Apart onion; Divide/Pull Apart; onion
2774; OP01-R06-GreekSalad-326200-330280; OP01-R06-GreekSalad; 326200; 330280; Transfer tomato,plate,bowl; Transfer; tomato,plate,bowl
2775; OP06-R05-Cheeseburger-194680-197190; OP06-R05-Cheeseburger; 194680; 197190; Divide/Pull Apart lettuce; Divide/Pull Apart; lettuce
2778; OP01-R01-PastaSalad-1239760-1240670; OP01-R01-PastaSalad; 1239760; 1240670; Take cooking_utensil; Take; cooking_utensil
2779; OP04-R01-PastaSalad-45100-45660; OP04-R01-PastaSalad; 45100; 45660; Move Around pot; Move Around; pot
2780; OP01-R03-BaconAndEggs-271495-273845; OP01-R03-BaconAndEggs; 271495; 273845; Take bread_container; Take; bread_container
2781; P14-R01-PastaSalad-660292-661251; P14-R01-PastaSalad; 660292; 661251; Put trash,trash_container; Put; trash,trash_container
2782; OP02-R04-ContinentalBreakfast-400970-401810; OP02-R04-ContinentalBreakfast; 400970; 401810; Take pot; Take; pot
2783; P02-R05-Cheeseburger-386030-388640; P02-R05-Cheeseburger; 386030; 388640; Move Around patty; Move Around; patty
2784; P20-R03-BaconAndEggs-735941-737448; P20-R03-BaconAndEggs; 735941; 737448; Put oil_container; Put; oil_container
2785; P03-R01-PastaSalad-1464006-1464655; P03-R01-PastaSalad; 1464006; 1464655; Put trash,trash_container; Put; trash,trash_container
2786; P13-R01-PastaSalad-1745328-1747092; P13-R01-PastaSalad; 1745328; 1747092; Put condiment_container; Put; condiment_container
2787; P14-R01-PastaSalad-171146-178617; P14-R01-PastaSalad; 171146; 178617; Inspect/Read recipe; Inspect/Read; recipe
2788; P22-R03-BaconAndEggs-887900-891290; P22-R03-BaconAndEggs; 887900; 891290; Move Around egg,cooking_utensil; Move Around; egg,cooking_utensil
2789; P10-R02-TurkeySandwich-293662-296312; P10-R02-TurkeySandwich; 293662; 296312; Spread condiment_container,bread; Spread; condiment_container,bread
2790; P23-R03-BaconAndEggs-1101767-1102510; P23-R03-BaconAndEggs; 1101767; 1102510; Take cream_cheese_container_lid; Take; cream_cheese_container_lid
2791; P09-R02-TurkeySandwich-509438-510726; P09-R02-TurkeySandwich; 509438; 510726; Turn on faucet; Turn on; faucet
2792; OP03-R05-Cheeseburger-722865-732405; OP03-R05-Cheeseburger; 722865; 732405; Close lettuce_container; Close; lettuce_container
2793; P23-R03-BaconAndEggs-265140-266342; P23-R03-BaconAndEggs; 265140; 266342; Put pasta_container; Put; pasta_container
2794; P04-R05-Cheeseburger-317705-318768; P04-R05-Cheeseburger; 317705; 318768; Open fridge_drawer; Open; fridge_drawer
2795; P22-R03-BaconAndEggs-2114419-2119050; P22-R03-BaconAndEggs; 2114419; 2119050; Wash pan; Wash; pan
2796; OP06-R03-BaconAndEggs-698450-700070; OP06-R03-BaconAndEggs; 698450; 700070; Take plate; Take; plate
